sepal length,sepal width,petal length,petal width,species
5,3,1.4,0.2,Setosa
4,3,1.4,0.2,Setosa
4,3,1.3,0.2,Setosa
4,3,1.5,0.2,Setosa
5,3,1.4,0.2,Setosa
5,3,1.7,0.4,Setosa
4,3,1.4,0.3,Setosa
5,3,1.5,0.2,Setosa
4,2,1.4,0.2,Setosa
4,3,1.5,0.1,Setosa
5,3,1.5,0.2,Setosa
4,3,1.6,0.2,Setosa
4,3,1.4,0.1,Setosa
4,3,1.1,0.1,Setosa
5,4,1.2,0.2,Setosa
5,4,1.5,0.4,Setosa
5,3,1.3,0.4,Setosa
5,3,1.4,0.3,Setosa
5,3,1.7,0.3,Setosa
5,3,1.5,0.3,Setosa
5,3,1.7,0.2,Setosa
5,3,1.5,0.4,Setosa
4,3,1,0.2,Setosa
5,3,1.7,0.5,Setosa
4,3,1.9,0.2,Setosa
5,3,1.6,0.2,Setosa
5,3,1.6,0.4,Setosa
5,3,1.5,0.2,Setosa
5,3,1.4,0.2,Setosa
4,3,1.6,0.2,Setosa
4,3,1.6,0.2,Setosa
5,3,1.5,0.4,Setosa
5,4,1.5,0.1,Setosa
5,4,1.4,0.2,Setosa
4,3,1.5,0.2,Setosa
5,3,1.2,0.2,Setosa
5,3,1.3,0.2,Setosa
4,3,1.4,0.1,Setosa
4,3,1.3,0.2,Setosa
5,3,1.5,0.2,Setosa
5,3,1.3,0.3,Setosa
4,2,1.3,0.3,Setosa
4,3,1.3,0.2,Setosa
5,3,1.6,0.6,Setosa
5,3,1.9,0.4,Setosa
4,3,1.4,0.3,Setosa
5,3,1.6,0.2,Setosa
4,3,1.4,0.2,Setosa
5,3,1.5,0.2,Setosa
5,3,1.4,0.2,Setosa
7,3,4.7,1.4,Versicolor
6,3,4.5,1.5,Versicolor
6,3,4.9,1.5,Versicolor
5,2,4,1.3,Versicolor
6,2,4.6,1.5,Versicolor
5,2,4.5,1.3,Versicolor
6,3,4.7,1.6,Versicolor
4,2,3.3,1,Versicolor
6,2,4.6,1.3,Versicolor
5,2,3.9,1.4,Versicolor
5,2,3.5,1,Versicolor
5,3,4.2,1.5,Versicolor
6,2,4,1,Versicolor
6,2,4.7,1.4,Versicolor
5,2,3.6,1.3,Versicolor
6,3,4.4,1.4,Versicolor
5,3,4.5,1.5,Versicolor
5,2,4.1,1,Versicolor
6,2,4.5,1.5,Versicolor
5,2,3.9,1.1,Versicolor
5,3,4.8,1.8,Versicolor
6,2,4,1.3,Versicolor
6,2,4.9,1.5,Versicolor
6,2,4.7,1.2,Versicolor
6,2,4.3,1.3,Versicolor
6,3,4.4,1.4,Versicolor
6,2,4.8,1.4,Versicolor
6,3,5,1.7,Versicolor
6,2,4.5,1.5,Versicolor
5,2,3.5,1,Versicolor
5,2,3.8,1.1,Versicolor
5,2,3.7,1,Versicolor
5,2,3.9,1.2,Versicolor
6,2,5.1,1.6,Versicolor
5,3,4.5,1.5,Versicolor
6,3,4.5,1.6,Versicolor
6,3,4.7,1.5,Versicolor
6,2,4.4,1.3,Versicolor
5,3,4.1,1.3,Versicolor
5,2,4,1.3,Versicolor
5,2,4.4,1.2,Versicolor
6,3,4.6,1.4,Versicolor
5,2,4,1.2,Versicolor
5,2,3.3,1,Versicolor
5,2,4.2,1.3,Versicolor
5,3,4.2,1.2,Versicolor
5,2,4.2,1.3,Versicolor
6,2,4.3,1.3,Versicolor
5,2,3,1.1,Versicolor
5,2,4.1,1.3,Versicolor
6,3,6,2.5,Virginica
5,2,5.1,1.9,Virginica
7,3,5.9,2.1,Virginica
6,2,5.6,1.8,Virginica
6,3,5.8,2.2,Virginica
7,3,6.6,2.1,Virginica
4,2,4.5,1.7,Virginica
7,2,6.3,1.8,Virginica
6,2,5.8,1.8,Virginica
7,3,6.1,2.5,Virginica
6,3,5.1,2,Virginica
6,2,5.3,1.9,Virginica
6,3,5.5,2.1,Virginica
5,2,5,2,Virginica
5,2,5.1,2.4,Virginica
6,3,5.3,2.3,Virginica
6,3,5.5,1.8,Virginica
7,3,6.7,2.2,Virginica
7,2,6.9,2.3,Virginica
6,2,5,1.5,Virginica
6,3,5.7,2.3,Virginica
5,2,4.9,2,Virginica
7,2,6.7,2,Virginica
6,2,4.9,1.8,Virginica
6,3,5.7,2.1,Virginica
7,3,6,1.8,Virginica
6,2,4.8,1.8,Virginica
6,3,4.9,1.8,Virginica
6,2,5.6,2.1,Virginica
7,3,5.8,1.6,Virginica
7,2,6.1,1.9,Virginica
7,3,6.4,2,Virginica
6,2,5.6,2.2,Virginica
6,2,5.1,1.5,Virginica
6,2,5.6,1.4,Virginica
7,3,6.1,2.3,Virginica
6,3,5.6,2.4,Virginica
6,3,5.5,1.8,Virginica
6,3,4.8,1.8,Virginica
6,3,5.4,2.1,Virginica
6,3,5.6,2.4,Virginica
6,3,5.1,2.3,Virginica
5,2,5.1,1.9,Virginica
6,3,5.9,2.3,Virginica
6,3,5.7,2.5,Virginica
6,3,5.2,2.3,Virginica
6,2,5,1.9,Virginica
6,3,5.2,2,Virginica
6,3,5.4,2.3,Virginica
5,3,5.1,1.8,Virginica
